id;first_name;last_name;email;birthday;login;password;phone
1;Théo;Souza;Paula54@hotmail.com;2023-11-23T00:19:41;shrilly easy-going;psst;(58) 5964-3276
2;Kléber;Moraes;Lorena_Moreira@bol.com.br;2023-11-22T18:20:34;absentmindedly humming;patrol zowie yuck;(27) 06953-2499
3;Roberta;Reis;Sophia72@live.com;2023-11-22T10:03:24;evenly um counteract;beautifully kip;+55 (24) 2076-3863
4;Alessandro;Santos;Benicio_Nogueira54@hotmail.com;2023-11-22T02:53:46;ugh rekindle disband;limb nearly;(68) 73608-4768
5;Antonella;Xavier;Noah_Pereira96@hotmail.com;2023-11-22T16:31:26;outside how drat;evaporation format;(48) 8703-9231
6;Washington;Martins;Raul_Xavier88@gmail.com;2023-11-22T03:44:24;easily;among mechanically;+55 (55) 5407-3020
7;Nataniel;Reis;Yango76@live.com;2023-11-22T10:36:47;reawaken meanwhile associate;pro toward;(30) 09849-6949
8;Sirineu;Carvalho;Felix_Costa68@gmail.com;2023-11-22T04:48:32;fillet;before regularly worth;(18) 96390-5854
9;Felícia;Martins;Alicia51@gmail.com;2023-11-23T00:50:07;lobotomize ex-wife phooey;milky drat;(80) 67629-2006
10;Maria;Souza;Karla30@gmail.com;2023-11-22T13:25:44;unsung whether;rudely;(77) 33693-7357
